online_order,book_table,location,rest_type,dish_liked,cuisines,avg_cost,type,success
Yes,Yes,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",400.0,Buffet,1
Yes,No,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",400.0,Buffet,1
Yes,No,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",400.0,Buffet,1
No,No,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",150.0,Buffet,0
No,No,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",300.0,Buffet,1
Yes,No,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,300.0,Buffet,1
No,No,Mysore Road,Casual Dining,Not specified,"North Indian, South Indian, Andhra, Chinese",400.0,Buffet,0
Yes,Yes,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",300.0,Cafes,1
Yes,No,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",350.0,Cafes,1
Yes,No,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",275.0,Cafes,1
Yes,No,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,250.0,Cafes,1
Yes,Yes,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",300.0,Cafes,1
Yes,Yes,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",250.0,Cafes,1
No,No,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",225.0,Cafes,1
Yes,No,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",400.0,Cafes,1
Yes,No,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,325.0,Cafes,1
Yes,No,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",400.0,Cafes,1
Yes,No,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",350.0,Cafes,1
No,No,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",150.0,Cafes,1
Yes,No,Banashankari,Cafe,Not specified,"Cafe, Chinese, Continental, Italian",200.0,Cafes,0
Yes,No,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",200.0,Cafes,0
Yes,No,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",250.0,Cafes,0
No,No,Banashankari,Cafe,Not specified,"Cafe, Fast Food",450.0,Cafes,0
Yes,No,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",300.0,Cafes,0
No,No,Banashankari,Cafe,Not specified,Cafe,150.0,Cafes,0
No,No,Banashankari,Cafe,Not specified,"Cafe, Bakery",300.0,Cafes,0
Yes,No,Banashankari,"Cafe, Quick Bites",Not specified,"Cafe, South Indian",100.0,Cafes,1
No,No,Banashankari,Cafe,Not specified,"Cafe, Fast Food, Beverages",250.0,Cafes,0
No,No,Banashankari,Cafe,Not specified,"Cafe, Fast Food",275.0,Cafes,0
No,No,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",275.0,Cafes,1
Yes,No,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",300.0,Cafes,1
Yes,No,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",250.0,Delivery,0
Yes,No,Banashankari,Delivery,Not specified,"Bakery, Desserts",250.0,Delivery,1
Yes,No,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,375.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",250.0,Delivery,1
Yes,No,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,325.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,"North Indian, Chinese, Fast Food",200.0,Delivery,0
Yes,No,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",300.0,Delivery,1
Yes,No,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",375.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,South Indian,75.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",100.0,Delivery,1
No,No,Banashankari,Mess,Not specified,South Indian,150.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",250.0,Delivery,1
Yes,No,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",400.0,Delivery,1
Yes,Yes,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",300.0,Delivery,1
No,No,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",200.0,Delivery,1
Yes,No,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",150.0,Delivery,0
Yes,No,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",225.0,Delivery,1
Yes,No,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",425.0,Delivery,0
Yes,No,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",150.0,Delivery,0
No,No,Banashankari,Quick Bites,Not specified,North Indian,225.0,Delivery,0
Yes,No,Vijay Nagar,Quick Bites,Not specified,"Fast Food, Street Food, Beverages",75.0,Delivery,1
No,No,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",200.0,Delivery,1
Yes,No,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",375.0,Delivery,1
No,No,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",225.0,Delivery,1
Yes,No,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",225.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,"Biryani, Fast Food",150.0,Delivery,1
Yes,Yes,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",400.0,Delivery,1
No,No,Banashankari,Quick Bites,Not specified,"Fast Food, Burger",100.0,Delivery,0
Yes,No,Banashankari,Dessert Parlor,Not specified,"Desserts, Beverages",200.0,Delivery,0
No,No,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",400.0,Delivery,1
Yes,Yes,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",400.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,Not specified,Chinese,75.0,Delivery,1
No,Yes,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",425.0,Delivery,1
No,No,Banashankari,"Bakery, Dessert Parlor",Not specified,Bakery,75.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",200.0,Delivery,1
Yes,No,Jayanagar,Quick Bites,Not specified,South Indian,50.0,Delivery,0
No,No,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",600.0,Delivery,1
No,No,Banashankari,Bakery,Not specified,"Bakery, Desserts",150.0,Delivery,1
Yes,No,Basavanagudi,Quick Bites,Not specified,"Burger, Fast Food, Beverages",300.0,Delivery,0
Yes,No,Banashankari,"Takeaway, Delivery",Not specified,"Italian, North Indian, Biryani",250.0,Delivery,0
No,No,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",150.0,Delivery,1
No,No,Banashankari,Delivery,Not specified,"Chinese, Continental, Italian, North Indian",350.0,Delivery,0
No,No,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",150.0,Delivery,0
Yes,No,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,75.0,Delivery,1
Yes,No,Banashankari,Quick Bites,Not specified,"Biryani, South Indian",150.0,Delivery,0
